Starting as master.... 
Starting as slave.... 
(0.159431, 0.113270, 0.113270)
(0.231436, 0.162147, 0.163125)
(0.231429, 0.144823, 0.167240)
(0.174790, 0.122514, 0.126967)
(0.259595, 0.164014, 0.168628)
(0.163241, 0.152798, 0.190584)
(0.203020, 0.121907, 0.131541)
(0.236071, 0.204821, 0.238192)
(0.181513, 0.144074, 0.144457)
(0.267610, 0.248715, 0.405319)
(0.130914, 0.104920, 0.104920)
(0.213637, 0.180194, 0.211862)
(0.332118, 0.296147, 0.301422)
(0.293698, 0.240556, 0.253652)
(0.185539, 0.149671, 0.181661)
(0.190107, 0.128618, 0.165619)
(0.187019, 0.186000, 0.247184)
(0.229109, 0.128323, 0.134968)
(0.226612, 0.138426, 0.166711)
(0.428008, 0.399613, 0.446171)
(0.394881, 0.380364, 0.380364)
(0.143266, 0.121981, 0.153489)
(0.289126, 0.251076, 0.257830)
(0.156730, 0.135713, 0.139932)
(0.240491, 0.145434, 0.157089)
(0.457738, 0.426448, 0.489889)
(0.168964, 0.124374, 0.133784)
(0.425775, 0.368254, 0.389805)
(0.210285, 0.176987, 0.182876)
(0.157429, 0.119840, 0.162874)
(0.176608, 0.145755, 0.211634)
(0.192973, 0.185391, 0.185391)
(0.230189, 0.167293, 0.203308)
(0.175489, 0.129334, 0.139523)
(0.268275, 0.229254, 0.238826)
(0.648576, 0.539680, 0.539680)
(0.552682, 0.498802, 0.509107)
(0.255661, 0.253248, 0.400857)
(0.422181, 0.395445, 0.469529)
(0.440012, 0.395927, 0.409820)
(0.229873, 0.162092, 0.178480)
(0.154847, 0.120922, 0.142299)
(0.203291, 0.153095, 0.164851)
(0.311419, 0.282559, 0.284296)
(0.131668, 0.131668, 0.137206)
(0.219357, 0.196972, 0.255248)
(0.281125, 0.219627, 0.226665)
(0.191090, 0.167049, 0.274098)
(0.134250, 0.129019, 0.130816)
(0.262427, 0.166784, 0.313234)
(0.203850, 0.150731, 0.157942)
(0.261522, 0.207954, 0.207954)
(0.162566, 0.133618, 0.198343)
(0.174118, 0.155567, 0.201937)
(0.209991, 0.205185, 0.243462)
(0.361780, 0.199880, 0.207924)
(0.249283, 0.223242, 0.263199)
(0.313656, 0.207945, 0.207945)
(0.113930, 0.105667, 0.108563)
(0.165858, 0.148355, 0.176789)
(0.295160, 0.201517, 0.255584)
(0.179476, 0.142186, 0.149062)
(0.258741, 0.154616, 0.154616)
(0.229482, 0.172638, 0.194814)
(0.233499, 0.153541, 0.193282)
(0.393905, 0.379206, 0.391528)
(0.152868, 0.131052, 0.165693)
(0.199894, 0.165169, 0.165169)
(0.297518, 0.249610, 0.393578)
(0.211515, 0.140417, 0.142203)
(0.559206, 0.473176, 0.475768)
(0.418101, 0.261560, 0.261560)
(0.329146, 0.311024, 0.373546)
(0.209178, 0.168930, 0.210182)
(0.437986, 0.393001, 0.429485)
(0.179834, 0.164831, 0.207737)
(0.212137, 0.204308, 0.396378)
(0.376709, 0.360380, 0.434437)
(0.164380, 0.138279, 0.149459)
(0.418879, 0.337991, 0.352900)
(0.153513, 0.153513, 0.179392)
(0.143286, 0.142376, 0.164705)
(0.234833, 0.148120, 0.169353)
(0.303006, 0.249508, 0.333580)
(0.265048, 0.256755, 0.314253)
(0.410151, 0.299767, 0.327357)
(0.347430, 0.332727, 0.372619)
(0.263811, 0.255597, 0.280314)
(0.236151, 0.156147, 0.172644)
(0.229316, 0.166897, 0.195126)
(0.505476, 0.423948, 0.434476)
(0.185881, 0.168117, 0.168117)
(0.302743, 0.204425, 0.210494)
(0.211894, 0.169576, 0.210348)
(0.189171, 0.140999, 0.175185)
(0.240264, 0.171968, 0.209522)
(0.171485, 0.124705, 0.130709)
(0.260772, 0.202839, 0.287650)
(0.260918, 0.212921, 0.356977)
(0.308157, 0.213765, 0.250692)
(0.285494, 0.163664, 0.165085)
(0.203747, 0.141531, 0.198888)
(0.215062, 0.143846, 0.161874)
(0.434043, 0.398849, 0.445138)
(0.212064, 0.204309, 0.302612)
(0.347119, 0.336604, 0.376803)
(0.169772, 0.158449, 0.163688)
(0.181575, 0.141556, 0.145019)
(0.178443, 0.130764, 0.143525)
(0.288870, 0.225882, 0.255392)
(0.278394, 0.249461, 0.346704)
(0.309673, 0.287831, 0.291442)
(0.150865, 0.137609, 0.161643)
(0.144637, 0.132221, 0.140161)
(0.256885, 0.173060, 0.207452)
(0.187159, 0.130667, 0.143532)
(0.164913, 0.148720, 0.220609)
(0.273679, 0.180310, 0.193649)
(0.123863, 0.123863, 0.165881)
(0.339589, 0.157965, 0.187448)
(0.256289, 0.195993, 0.212844)
(0.230534, 0.195649, 0.250390)
(0.175134, 0.140273, 0.178446)
(0.448617, 0.255003, 0.342981)
(0.291594, 0.244484, 0.270672)
(0.234992, 0.215188, 0.225044)
(0.164760, 0.152735, 0.238324)
(0.294066, 0.265793, 0.502014)
(0.483119, 0.402834, 0.425375)
(0.398132, 0.224395, 0.235136)
(0.312890, 0.302701, 0.359061)
(0.169773, 0.142643, 0.158019)
(0.254793, 0.210506, 0.428102)
(0.287020, 0.144653, 0.159221)
(0.325361, 0.179167, 0.306353)
(0.216449, 0.142682, 0.167667)
(0.379543, 0.217069, 0.247992)
(0.168077, 0.151584, 0.156729)
(0.388813, 0.239111, 0.270694)
(0.366285, 0.282276, 0.291110)
(0.212839, 0.176256, 0.197679)
(0.241437, 0.169293, 0.197733)
(0.137596, 0.123979, 0.144187)
(0.190685, 0.168489, 0.193283)
(0.460402, 0.290241, 0.304528)
